imdbId;year;spanishTitle;originalTitle;englishTitle;ratingImdb;numVotes;metascore;isAdult;certificate;runtimeMinutes;genres;directors;writers;stars;countries;companies;awards;budget;grossUsCanada;openingUsCanada;grossWorld;profit;roi
tt4827558;2018.0;High life;High Life;High Life;5.8;30895.0;77.0;0.0;16;113.0;Adventure,Drama,Horror;Claire Denis;Claire Denis,Jean-Pol Fargeau,Geoff Cox;Claire Denis,Jean-Pol Fargeau,Geoff Cox;France,United Kingdom,Germany,Poland,United States;Alcatraz Films,Andrew Lauren Productions,Arte France Cinéma;"Awards
5 wins & 25 nominations";9447632.364281809;1225852.0;99341.0;2133033.0;-7314599.364281809;-0.774225655936375
tt4881806;2018.0;Jurassic World: El reino caído;Jurassic World: Fallen Kingdom;Jurassic World: Fallen Kingdom;6.2;276471.0;51.0;0.0;12;128.0;Action,Adventure,Sci-Fi;J.A. Bayona;Derek Connolly,Colin Trevorrow,Michael Crichton;Derek Connolly,Colin Trevorrow,Michael Crichton;United States;Universal Pictures,Amblin Entertainment,Legendary Entertainment;"Awards
4 wins & 26 nominations";170000000.0;417719760.0;148024610.0;1310466296.0;1140466296.0;6.708625270588235
tt4912910;2018.0;Misión Imposible: Fallout;Mission: Impossible - Fallout;Mission: Impossible - Fallout;7.7;302378.0;86.0;0.0;12;147.0;Action,Adventure,Thriller;Christopher McQuarrie;Bruce Geller,Christopher McQuarrie;Bruce Geller,Christopher McQuarrie;United States,China,France,Norway,United Kingdom;Paramount Pictures,Skydance Media,TC Productions;"Awards
23 wins & 37 nominations total";178000000.0;220159104.0;61236534.0;791657398.0;613657398.0;3.447513471910112
tt4949112;2018.0;Touch Me Not (No me toques);Touch Me Not;Touch Me Not;5.8;2437.0;65.0;0.0;18;123.0;Drama;Adina Pintilie;Adina Pintilie;Adina Pintilie;Romania,Germany,Czech Republic,Bulgaria,France;Manekino Film,Rohfilm,Pink Production;"Awards
4 wins & 20 nominations";1180954.0455352261;13782.0;5616.0;75507.0;-1105447.0455352261;-0.936062711089
tt4951982;2018.0;Kursk;Kursk;The Command;6.6;16516.0;55.0;0.0;7;117.0;Action,Adventure,Drama;Thomas Vinterberg;Robert Rodat,Robert Moore;Robert Rodat,Robert Moore;France,Belgium,Luxembourg,Romania,Canada,United States;EuropaCorp,VIA EST,Belga Productions;NaN;20000000.0;NaN;NaN;6821775.0;-13178225.0;-0.65891125
tt4964788;2018.0;Todos lo saben;Todos lo saben;Everybody Knows;6.9;30842.0;68.0;0.0;12;133.0;Crime,Drama,Mystery;Asghar Farhadi;Asghar Farhadi;Asghar Farhadi;Spain,France,Italy,Argentina,Germany;Memento Films Production,Morena Films,Lucky Red;"Awards
5 wins & 33 nominations";11809540.455352262;2660165.0;71207.0;19176163.0;7366622.544647738;0.6237857071998999
tt4971344;2018.0;Los hermanos Sisters;Les frères Sisters;The Sisters Brothers;7.0;58201.0;78.0;0.0;12;122.0;Crime,Drama,Western;Jacques Audiard;Jacques Audiard,Thomas Bidegain,Patrick DeWitt;Jacques Audiard,Thomas Bidegain,Patrick DeWitt;France,Spain,Romania,Belgium,United States;Why Not Productions,Page 114,Annapurna Pictures;"Awards
13 wins & 24 nominations";38000000.0;3143056.0;115575.0;13143056.0;-24856944.0;-0.6541301052631578
tt5001754;2018.0;El leñador;Braven;Braven;5.9;28044.0;61.0;0.0;R;94.0;Action,Thriller;Lin Oeding;"""Thomas Paa Sibbett"",Michael Nilon";"""Thomas Paa Sibbett"",Michael Nilon";Canada;Highland Film Group (HFG),Pride of Gypsies,Hassell Free Production;NaN;5000000.0;NaN;NaN;854319.0;-4145681.0;-0.8291362
tt5028340;2018.0;El regreso de Mary Poppins;Mary Poppins Returns;Mary Poppins Returns;6.7;80009.0;66.0;0.0;A/i;130.0;Comedy,Family,Fantasy;Rob Marshall;P.L. Travers,David Magee,Rob Marshall;P.L. Travers,David Magee,Rob Marshall;United States,United Kingdom;Lucamar Productions,Marc Platt Productions,Walt Disney Pictures;"Nominated for 4 Oscars
23 wins & 109 nominations total";130000000.0;171958438.0;23523121.0;349546142.0;219546142.0;1.688816476923077
tt5052474;2018.0;Sicario: El día del soldado;Sicario: Day of the Soldado;Sicario: Day of the Soldado;7.1;131876.0;61.0;0.0;16;122.0;Action,Adventure,Crime;Stefano Sollima;Taylor Sheridan;Taylor Sheridan;United States,Mexico;Columbia Pictures,Black Label Media,Thunder Road Pictures;"Awards
1 win & 7 nominations";35000000.0;50072235.0;19007566.0;75837743.0;40837743.0;1.166792657142857
tt5083738;2018.0;La favorita;The Favourite;The Favourite;7.5;180882.0;91.0;0.0;12;119.0;Biography,Comedy,Drama;Yorgos Lanthimos;Deborah Davis,Tony McNamara;Deborah Davis,Tony McNamara;Ireland,United Kingdom,United States;Fox Searchlight Pictures,Film4,Waypoint Entertainment;"Won 1 Oscar
182 wins & 337 nominations total";15000000.0;34366783.0;422410.0;95918706.0;80918706.0;5.3945804
tt5095030;2018.0;Ant-Man y la Avispa;Ant-Man and the Wasp;Ant-Man and the Wasp;7.0;331911.0;70.0;0.0;7;118.0;Action,Adventure,Comedy;Peyton Reed;Chris McKenna,Erik Sommers,Paul Rudd;Chris McKenna,Erik Sommers,Paul Rudd;United States;Marvel Studios,Canadian Film or Video Production Tax Credit (CPTC),The Province of Ontario;"Awards
1 win & 20 nominations";162000000.0;216648740.0;75812205.0;622674139.0;460674139.0;2.843667524691358
tt5117670;2018.0;Peter Rabbit;Peter Rabbit;Peter Rabbit;6.6;37953.0;51.0;0.0;7;95.0;Adventure,Animation,Comedy;Will Gluck;Rob Lieber,Will Gluck,Beatrix Potter;Rob Lieber,Will Gluck,Beatrix Potter;United States,Australia,United Kingdom;Columbia Pictures,2.0 Entertainment,Animal Logic;"Awards
4 wins & 18 nominations";50000000.0;115253424.0;25010928.0;351496066.0;301496066.0;6.02992132
tt5149490;2018.0;Gwen;Gwen;Gwen;6.0;2278.0;63.0;0.0;Not Rated;84.0;Drama,History,Mystery;William McGregor;William McGregor;William McGregor;United Kingdom;BFI Film Fund,Endor Productions;"Awards
3 wins & 16 nominations";2668331.705650993;NaN;NaN;47140.0;-2621191.705650993;-0.98233353076
tt5164214;2018.0;Ocean's 8;Ocean's Eight;Ocean's Eight;6.3;196392.0;61.0;0.0;7;110.0;Action,Comedy,Crime;Gary Ross;Gary Ross,Olivia Milch,George Clayton Johnson;Gary Ross,Olivia Milch,George Clayton Johnson;United States;Warner Bros.,Village Roadshow Pictures,Rahway Road Productions;"Awards
3 wins & 16 nominations";70000000.0;140218711.0;41607378.0;297718711.0;227718711.0;3.2531244428571426
tt5164432;2018.0;Con amor, Simon;Love, Simon;Love, Simon;7.6;103407.0;72.0;0.0;12;110.0;Comedy,Drama,Romance;Greg Berlanti;Becky Albertalli,Elizabeth Berger,Isaac Aptaker;Becky Albertalli,Elizabeth Berger,Isaac Aptaker;United States;Fox 2000 Pictures,New Leaf Literary & Media,Temple Hill Entertainment;"Awards
10 wins & 27 nominations";17000000.0;40826341.0;11756244.0;66316289.0;49316289.0;2.900958176470588
tt5177088;2018.0;Millennium: Lo que no te mata te hace más fuerte;The Girl in the Spider's Web;The Girl in the Spider's Web;6.1;43491.0;43.0;0.0;12;115.0;Action,Crime,Drama;Fede Alvarez;David Lagercrantz,Stieg Larsson,Jay Basu;David Lagercrantz,Stieg Larsson,Jay Basu;Germany,United Kingdom,Canada,Sweden,United States;Columbia Pictures,Metro-Goldwyn-Mayer (MGM),New Regency Productions;"Awards
1 win & 6 nominations";43000000.0;14841338.0;7810112.0;35164920.0;-7835080.0;-0.18221116279069768
tt5179598;2018.0;El club de los jóvenes multimillonarios;Billionaire Boys Club;Billionaire Boys Club;5.6;11808.0;30.0;0.0;16;108.0;Biography,Drama,Thriller;James Cox;James Cox,Captain Mauzner;James Cox,Captain Mauzner;United States;Armory Films,Oriah Entertainment,Elevated Films (II);"Awards
1 win";15000000.0;NaN;NaN;2712606.0;-12287394.0;-0.8191596
tt5208252;2018.0;Operation Finale;Operation Finale;Operation Finale;6.6;36153.0;58.0;0.0;16;122.0;Biography,Drama,History;Chris Weitz;Matthew Orton;Matthew Orton;United States;Metro-Goldwyn-Mayer (MGM),Automatik Entertainment;"Awards
1 nomination";24000000.0;17612099.0;6022758.0;17612099.0;-6387901.0;-0.26616254166666664
tt5208950;2018.0;Kickboxer: Contrataque;Kickboxer: Retaliation;Kickboxer: Retaliation;5.0;4909.0;54.0;0.0;18;110.0;Action,Drama;Dimitri Logothetis;Jean-Claude Van Damme,Mark DiSalle,Dimitri Logothetis;Jean-Claude Van Damme,Mark DiSalle,Dimitri Logothetis;United States;Our House Films,Head Gear Films,Metrol Technology;NaN;10000000.0;4537.0;3061.0;101690.0;-9898310.0;-0.989831
tt5220122;2018.0;Hotel Transilvania 3: Unas vacaciones monstruosas;Hotel Transylvania 3: Summer Vacation;Hotel Transylvania 3: Summer Vacation;6.3;61519.0;54.0;0.0;A;97.0;Adventure,Animation,Comedy;Genndy Tartakovsky;Genndy Tartakovsky,Michael McCullers;Genndy Tartakovsky,Michael McCullers;United States,South Korea,Canada;Sony Pictures Animation,Media Rights Capital (MRC),Rough Draft Korea;"Awards
2 wins & 9 nominations";80000000.0;167510016.0;44076225.0;528583774.0;448583774.0;5.607297175
tt5227746;2018.0;The Unthinkable;Den blomstertid nu kommer;The Unthinkable;6.1;7147.0;66.0;0.0;12;129.0;Action,Romance,Sci-Fi;Victor Danell;Victor Danell,Christoffer Nordenrot;Victor Danell,Christoffer Nordenrot;Sweden;Crazy Pictures;"Awards
5 wins & 6 nominations";2128267.09130772;974.0;655.0;7364.0;-2120903.09130772;-0.9965399079701621
tt5254610;2018.0;La última jugada;Final Score;Final Score;5.8;10414.0;53.0;0.0;R;104.0;Action,Drama,Thriller;Scott Mann;David T. Lynch,Keith Lynch,Jonathan Frank;David T. Lynch,Keith Lynch,Jonathan Frank;United Kingdom;Signature Films,Drybake Producitons,Highland Film Group (HFG);"Awards
1 nomination";20000000.0;NaN;NaN;1472770.0;-18527230.0;-0.9263615
tt5303442;2018.0;Las aventuras de Errol Flynn;In Like Flynn;In Like Flynn;5.2;983.0;66.0;0.0;16;106.0;Action;Russell Mulcahy;Marc Furmie,Steve M. Albert,Luke Flynn;Marc Furmie,Steve M. Albert,Luke Flynn;Australia,Canada;308 Ent,ILF AU Productions;NaN;8000000.0;11255.0;6646.0;11255.0;-7988745.0;-0.998593125
tt5314190;2018.0;Stubby: un héroe muy especial;Sgt. Stubby: An American Hero;Sgt. Stubby: An American Hero;6.9;2014.0;58.0;0.0;7;84.0;Adventure,Animation,Family;Richard Lanni;Richard Lanni,Mike Stokey;Richard Lanni,Mike Stokey;Ireland,France,United States,Canada,Belgium,United Kingdom;Fun Academy Media Group;"Awards
23 wins & 7 nominations";25000000.0;4015935.0;1164403.0;4932694.0;-20067306.0;-0.80269224
tt5360952;2018.0;Operación: Huracán;The Hurricane Heist;The Hurricane Heist;5.1;19599.0;35.0;0.0;12;103.0;Action,Adventure,Crime;Rob Cohen;Scott Windhauser,Jeff Dixon,Anthony Fingleton;Scott Windhauser,Jeff Dixon,Anthony Fingleton;United Kingdom,United States;Foresight Unlimited,Signature Pictures,RSVP Entertainment;NaN;35000000.0;6115825.0;3024399.0;32517248.0;-2482752.0;-0.07093577142857142
tt5397194;2018.0;Anon;Anon;Anon;6.1;39660.0;54.0;0.0;18;100.0;Crime,Sci-Fi,Thriller;Andrew Niccol;Andrew Niccol;Andrew Niccol;United Kingdom,Canada,United States,Germany;K5 Film,K5 Media Group;"Awards
1 nomination";20000000.0;NaN;NaN;1197741.0;-18802259.0;-0.94011295
tt5460522;2018.0;J.T. Leroy: Engañando a Hollywood;Jeremiah Terminator LeRoy;JT LeRoy;5.4;2011.0;55.0;0.0;R;108.0;Biography,Drama;Justin Kelly;Savannah Knoop,Justin Kelly;Savannah Knoop,Justin Kelly;United Kingdom,Canada,United States;Elevated Films,The Fyzz Facility Film One,Ingenious Media;"Awards
1 nomination";2000000.0;NaN;NaN;16754.0;-1983246.0;-0.991623
tt5460880;2018.0;Una familia ideal;Ideal Home;Ideal Home;6.5;8308.0;62.0;0.0;16;91.0;Comedy,Drama;Andrew Fleming;Andrew Fleming;Andrew Fleming;United States;Remstar Studios,Baby Cow Productions,Lucky Monkey Pictures;"Awards
2 wins & 2 nominations";10000000.0;NaN;NaN;147784.0;-9852216.0;-0.9852216
tt5463162;2018.0;Deadpool 2;Deadpool 2;Deadpool 2;7.7;504178.0;66.0;0.0;18;119.0;Action,Adventure,Comedy;David Leitch;Rhett Reese,Paul Wernick,Ryan Reynolds;Rhett Reese,Paul Wernick,Ryan Reynolds;Canada,United States;Twentieth Century Fox,Marvel Entertainment,Kinberg Genre;"Awards
6 wins & 52 nominations";110000000.0;324591735.0;125507153.0;786470484.0;676470484.0;6.149731672727273
tt5523010;2018.0;El cascanueces y los cuatro reinos;The Nutcracker and the Four Realms;The Nutcracker and the Four Realms;5.6;30376.0;39.0;0.0;A/i;99.0;Adventure,Family,Fantasy;Lasse Hallström,Joe Johnston;Ashleigh Powell,E.T.A. Hoffmann,Marius Petipa;Ashleigh Powell,E.T.A. Hoffmann,Marius Petipa;United States,Canada;Walt Disney Pictures,Canadian Film or Video Production Services Tax Credit (PSTC),Entertainment One;"Awards
1 win & 8 nominations";120000000.0;54858851.0;20352491.0;173961069.0;53961069.0;0.449675575
tt5580266;2018.0;El odio que das;The Hate U Give;The Hate U Give;7.5;32564.0;81.0;0.0;PG-13;133.0;Crime,Drama;George Tillman Jr.;Audrey Wells,Angie Thomas;Audrey Wells,Angie Thomas;United States;Fox 2000 Pictures,State Street Pictures,TSG Entertainment;"Awards
22 wins & 37 nominations";23000000.0;29719483.0;512035.0;34934009.0;11934009.0;0.5188699565217392
